#{"t_start": 1780913933.79048, "env_id": "highway-fast-v0"}
r,l,t
11.066667,15,59.22742
7.080136,10,59.375371
8.452891,13,59.565068
11.99672,16,59.794598
7.032181,11,59.954651
22.049488,30,60.409301
13.597337,16,60.656828
23.085423,30,61.09628
7.864011,10,61.249001
11.545156,14,61.45054
5.317258,8,61.566819
9.39703,13,61.754505
6.931557,10,61.902559
9.46701,14,62.100967
20.101411,29,62.533574
20.453555,30,62.983264
7.8975,10,63.133979
20.767808,30,63.574176
25.365305,30,64.028069
5.85166,8,64.151268
18.179746,24,64.499964
21.949078,30,64.923269
21.718948,30,65.361859
13.902663,19,65.727367
11.666408,16,65.964544
17.632404,24,66.330737
21.617198,30,66.771874
17.211278,22,67.098115
23.019021,30,67.535374
8.880534,12,67.715219
13.079,16,68.138507
23.250487,30,68.583133
17.318934,24,68.941533
23.253281,30,69.381963
3.333293,5,69.460388
21.285019,30,69.905825
2.319871,4,69.968591
20.098132,27,70.36535
10.153164,13,70.556712
1.7,3,70.606542
21.96933,30,71.055077
23.335646,30,71.496773
20.533684,30,71.950457
21.832417,30,72.401351
21.319836,30,72.846791
8.84753,12,73.026952
18.018415,23,73.369008
4.702616,7,73.477319
13.452926,18,73.743259
4.266976,6,73.833954
6.501679,9,73.971996
3.11983,5,74.052246
21.519598,30,74.491773
17.910732,25,74.864694
4.666357,6,74.953043
21.06933,30,75.388754
16.533337,24,75.751415
18.002617,24,76.108306
1.279667,2,76.146611
7.453554,11,76.311681
21.886258,30,76.763336
23.684254,30,77.206876
7.646486,9,77.339889
20.986882,30,77.789829
7.369285,11,77.956121
23.651241,30,78.404556
1.85164,3,78.45457
25.965301,30,78.894204
1.816936,3,78.941053
14.901253,20,79.23385
17.310852,21,79.537491
21.318978,30,79.959349
21.801109,30,80.38427
14.353015,20,80.679753
11.585777,16,80.910436
20.786169,28,81.310934
21.918704,30,81.757979
3.40004,5,81.843096
10.963394,15,82.071048
15.017248,19,82.340467
22.184106,30,82.789877
10.73277,15,83.013633
23.652615,30,83.727059
18.568769,23,84.064991
11.100048,17,84.300261
22.02022,30,84.716598
21.019019,30,85.137685
14.92022,20,85.418415
22.132136,30,85.837195
20.752931,30,86.248135
23.552458,30,86.669369
21.11922,30,87.080511
10.135725,15,87.28649
23.999377,30,87.708655
14.633007,21,88.004517
3.65351,6,88.091995
1.715153,3,88.136307
22.253554,30,88.551018
1.900371,3,88.595094
22.664501,30,89.006786
13.300267,19,89.272606
20.802623,30,89.693245
2.799696,4,89.757048
20.52022,30,90.169479
16.012225,21,90.465824
12.711234,14,90.669744
22.449004,30,91.083288
21.886539,30,91.489528
22.053555,30,91.900178
20.766354,30,92.310299
21.283719,30,92.732619
17.162803,23,93.046518
10.84576,14,93.242625
7.786888,11,93.399787
2.979354,4,93.457016
21.286875,30,93.862808
16.585275,21,94.149382
17.886882,27,94.520068
3.786842,6,94.607328
21.752658,30,95.022187
13.385579,18,95.280613
20.602315,30,95.688013
22.732715,30,96.105484
6.217909,9,96.231554
15.249738,22,96.534346
4.519321,7,96.635698
22.185061,30,97.048498
2.317863,4,97.11123
23.785381,30,97.53039
6.333679,9,97.658665
2.619044,4,97.718793
21.365553,30,98.288518
13.318559,18,98.541016
4.4,6,98.627869
21.586007,30,99.036857
17.515475,22,99.339103
11.585366,18,99.597868
16.035652,24,99.928789
22.985498,30,100.391429
22.385996,30,100.80908
22.617654,30,101.223026
8.649108,12,101.393903
11.898133,17,101.635313
10.584576,15,101.841074
21.218976,30,102.257857
22.697688,30,102.686532
12.720221,19,102.952155
20.853514,30,103.362085
21.446498,30,103.779382
23.753245,30,104.193917
23.81986,30,104.609652
18.685655,28,105.030529
6.353508,9,105.15807
6.253548,10,105.300358
18.433115,26,105.654637
21.700038,30,106.069166
1.946796,3,106.115513
13.686579,21,106.405622
20.386848,30,106.827239
21.419039,30,107.249364
14.720221,23,107.579702
21.385958,30,107.990231
2.800097,4,108.047299
22.533379,30,108.470373
4.797683,6,108.557983
20.386844,30,108.966161
2.599378,4,109.028339
19.866673,24,109.369053
13.117009,17,109.601947
20.82022,30,110.017629
22.819607,30,110.43871
9.767809,13,110.623266
4.313504,6,110.714159
6.001849,8,110.830781
21.286888,30,111.2538
6.77978,8,111.371136
8.395942,11,111.528042
21.186619,30,111.94283
21.065508,30,112.508992
10.820221,16,112.741189
20.953554,30,113.152455
7.851454,12,113.319424
22.402617,30,113.740639
10.986888,17,113.979781
6.412546,8,114.096731
4.979308,6,114.184849
19.732134,26,114.535647
