#{"t_start": 1780913933.79048, "env_id": "highway-fast-v0"}
r,l,t
24.381468,30,356.799717
23.83239,30,357.216125
21.919327,30,357.632996
22.820221,30,358.049747
22.651772,30,358.478759
20.420221,30,358.912187
21.853252,30,359.343727
2.797688,4,359.406478
22.919572,30,359.850155
5.579779,7,359.962162
20.78662,30,360.384867
15.186888,23,360.715834
24.553548,30,361.138036
10.42022,15,361.357975
23.486883,30,361.779063
24.252661,30,362.205153
21.348251,30,362.791691
22.785691,30,363.212567
23.220221,30,363.644567
23.352932,30,364.067157
21.753555,30,364.485916
23.335996,30,364.92237
23.686217,30,365.341867
22.899074,30,365.762565
7.101768,10,365.911984
5.133373,7,366.015716
23.62022,30,366.442253
22.785598,30,366.862919
11.597734,16,367.088362
22.019326,30,367.563794
22.152913,30,367.988642
21.920216,30,368.413786
22.75055,30,368.838637
23.735995,30,369.271075
12.465154,17,369.515462
7.66933,11,369.793
22.219327,30,370.208783
21.086888,30,370.629889
20.553554,30,371.042957
2.531021,4,371.10803
22.899062,30,371.540175
16.135996,24,371.879068
22.153555,30,372.302861
24.248491,30,372.734213
20.720221,30,373.159736
22.953514,30,373.581366
21.353555,30,374.010641
21.886888,30,374.422561
9.953555,14,374.624817
22.453511,30,375.039483
23.353554,30,375.463851
3.899891,5,375.534594
3.652696,5,375.609101
11.935956,17,375.850935
21.653092,30,376.290844
22.953554,30,376.708656
21.353555,30,377.125823
22.819598,30,377.721898
7.75288,10,377.864904
23.663684,30,378.295966
21.002661,30,378.720321
10.684576,16,378.951998
23.200344,30,379.442461
23.085969,30,379.879113
21.220221,30,380.32572
22.686888,30,380.770852
19.520221,26,381.168519
25.185599,30,381.629197
24.553555,30,382.075562
23.634761,30,382.528386
23.620221,30,382.981733
4.667515,6,383.076979
22.385994,30,383.539806
24.420221,30,383.991726
22.953555,30,384.453932
21.38457,30,384.897248
22.353513,30,385.352329
4.115211,6,385.44488
23.886887,30,385.899083
24.019598,30,386.392248
6.352926,9,386.55078
21.785599,29,387.064159
22.752943,30,387.648361
16.668707,22,388.163044
23.752931,30,388.92509
24.153548,30,389.661589
22.152663,30,390.335269
23.05264,30,391.058412
23.086888,30,391.850261
23.486498,30,392.591711
14.202663,19,393.176009
23.353554,30,393.955105
15.600351,23,394.561966
23.202358,30,395.419429
23.220221,30,396.272695
20.719327,30,397.14596
22.017018,30,398.691378
25.452661,30,399.131708
22.38688,30,399.565771
22.402663,30,400.002035
22.318705,30,400.42497
22.053549,30,400.86388
1.684225,3,400.915736
19.386542,25,401.285098
25.486881,30,401.718065
21.619871,30,402.168054
23.22022,30,402.616993
23.886888,30,403.069143
23.45262,30,403.517301
5.919824,8,403.636403
23.61956,30,404.088444
18.002617,25,404.466262
23.886265,30,404.960908
24.716325,30,405.412333
22.452265,30,405.851397
22.486888,30,406.292424
22.686888,30,406.752173
23.985647,30,407.200894
23.75324,30,407.638858
22.286888,30,408.079968
23.202041,30,408.523161
11.597343,14,408.735614
8.820221,12,408.906309
10.933684,16,409.141187
22.953555,30,409.596479
24.062787,30,410.051935
8.799027,10,410.202785
23.086888,30,410.636482
23.251461,30,411.084671
21.41726,30,411.532912
19.951236,25,411.907481
3.117558,5,411.986835
22.553555,30,412.430536
22.719066,30,412.881375
23.852892,30,413.324476
24.66828,30,413.963085
15.820221,21,414.278099
22.686888,30,414.70967
13.067017,17,414.975268
22.886275,30,415.425215
24.002353,30,415.885724
18.085596,26,416.27771
15.896446,19,416.564871
4.866394,7,416.674435
22.319026,30,417.122022
8.820221,12,417.305228
22.369328,30,417.757837
20.020221,29,418.187065
8.469329,11,418.351216
23.083952,30,418.793856
24.152932,30,419.245064
14.897111,20,419.537423
22.820221,30,419.98587
24.286583,30,420.441301
24.019917,30,420.887672
22.553555,30,421.336182
2.466045,4,421.398205
3.533638,5,421.473022
22.984268,30,421.921521
8.399695,10,422.074927
9.620215,14,422.281752
23.118933,30,422.737874
12.565421,16,422.968334
22.819551,30,423.398328
10.052266,13,423.593261
14.820221,21,423.904238
24.019593,30,424.339444
25.486881,30,424.769031
22.935996,30,425.199022
21.753555,30,425.696708
15.51988,21,426.040659
23.220221,30,426.478147
8.267418,10,426.635318
23.866368,30,427.0867
25.486881,30,427.635059
23.553243,30,428.084113
11.486888,16,428.31355
15.686888,21,428.619611
23.446754,30,429.030007
23.086888,30,429.611158
8.553549,12,429.778821
8.952661,13,429.958811
23.701741,30,430.369041
3.020175,5,430.443837
23.886887,30,430.860316
8.552926,12,431.030803
22.219554,30,431.454161
24.399417,30,431.86936
1.6,3,431.91478
17.052266,22,432.217867
16.51983,22,432.525409
16.252392,23,432.848857
18.453247,27,433.228167
5.199954,7,433.327153
6.686496,9,433.452226
10.564314,14,433.650137
4.151201,6,433.741179
24.75247,30,434.154585
20.753245,30,434.566132
24.683953,30,434.979407
15.666713,21,435.270694
23.086887,30,435.694688
1.846796,3,435.743963
7.200015,9,435.874165
6.020169,8,435.990032
2.466045,4,436.047679
25.979553,30,436.470757
22.453288,30,436.883039
22.686265,30,437.304495
23.486848,30,437.730243
1.880129,3,437.776019
6.646446,8,437.891825
20.763506,28,438.276138
16.986888,25,438.629169
6.22022,9,438.758189
6.031021,8,438.875903
5.62022,8,438.990131
23.252624,30,439.403211
14.620216,21,439.699056
23.886888,30,440.11671
24.516125,30,440.536079
22.652265,30,440.959915
18.600846,23,441.293258
22.253244,30,441.748382
6.75288,9,441.874675
22.953555,30,442.312645
16.067501,19,442.663344
26.135367,30,443.095917
16.686888,22,443.415075
23.220221,30,444.001035
18.602623,25,444.359924
11.753554,16,444.587434
21.351242,30,445.007903
23.353555,30,445.43379
23.620221,30,445.883163
2.68392,4,445.944614
21.586888,30,446.370271
19.452943,28,446.765065
24.783953,30,447.189133
21.553554,30,447.620179
17.146492,23,447.966579
24.269283,30,448.400301
8.352931,11,448.56255
14.515189,20,448.84499
6.646446,8,448.961855
8.686264,12,449.136617
17.45204,24,449.482694
8.186847,12,449.655869
5.753198,8,449.828602
16.796841,23,450.167613
17.632412,23,450.494524
23.183287,30,450.931341
10.620215,13,451.116782
21.932174,30,451.62076
18.365859,25,451.970088
25.518487,30,452.452971
8.113457,10,452.63035
23.749452,30,453.162015
23.419278,30,453.68779
20.269023,27,454.15984
6.800847,9,454.426189
24.020221,30,454.983435
24.249913,30,455.42728
9.82022,13,455.618639
11.819777,17,455.876481
19.065464,27,456.275178
22.61728,30,456.715822
22.519322,30,457.157488
17.584229,24,457.518177
22.820221,30,457.974941
24.153554,30,458.39931
11.152931,15,458.606651
22.020221,30,459.028102
4.930671,6,459.121745
26.553508,30,459.72541
24.420221,30,460.167278
25.086888,30,460.580383
1.915153,3,460.630748
13.597111,18,460.884296
25.601695,30,461.324427
13.76804,19,461.588859
23.886265,30,462.041905
23.319329,30,462.474729
22.420221,30,462.920262
22.553206,30,463.349765
5.796716,7,463.452438
4.913118,6,463.540543
23.102615,30,463.99084
12.267515,15,464.273441
23.929505,30,464.69784
22.686883,30,465.125262
2.599063,4,465.186659
1.915153,3,465.237712
9.286888,13,465.429476
15.219911,21,465.73436
23.086264,30,466.15262
23.886264,30,466.577754
1.8,3,466.622228
23.752932,30,467.072333
22.419558,30,467.490743
16.731067,21,467.794132
11.479202,15,468.013304
25.486265,30,468.457272
4.513417,6,468.549741
14.820221,20,468.831267
24.683952,30,469.247552
23.620221,30,469.758231
22.800351,30,470.170578
8.486887,11,470.326805
23.753555,30,470.753433
6.153502,8,470.870779
14.796755,18,471.141062
23.318931,30,471.57637
24.38564,30,472.00942
22.95289,30,472.427038
24.266661,30,472.857517
23.485961,30,473.291404
22.820221,30,473.709905
24.020221,30,474.160383
22.220214,30,474.730723
8.379779,10,474.882359
23.052621,30,475.367651
7.886887,12,475.551627
23.486888,30,475.977877
8.000344,10,476.130028
21.053555,30,476.555802
23.086225,30,477.003408
13.220221,18,477.279402
22.917285,30,477.717843
22.586888,30,478.190129
23.467017,30,478.62993
24.02022,30,479.068438
6.797389,10,479.249217
23.220221,30,479.688598
22.686888,30,480.126609
6.283874,8,480.245379
5.796716,7,480.354244
9.580123,12,480.524772
23.981855,30,480.953348
24.820221,30,481.392009
4.197104,6,481.482981
7.886498,10,481.636056
18.886888,28,482.041306
3.153508,5,482.112391
22.683912,30,482.532037
10.802312,14,482.736556
22.782792,30,483.168034
23.886265,30,483.600425
23.45196,30,484.021052
23.185996,30,484.455044
6.686888,10,484.59825
10.513423,12,484.772268
22.286844,30,485.205021
23.883325,30,485.627643
22.286583,30,486.073753
1.913001,3,486.120663
22.266394,28,486.519701
22.386886,30,486.938022
12.382163,16,487.17962
14.113113,19,487.460487
24.62022,30,487.925287
21.663275,28,488.43576
8.266384,11,488.63102
23.486253,30,489.233951
3.166401,5,489.345899
22.749971,29,489.839442
23.852356,30,490.456866
7.253554,11,490.615419
13.313463,19,490.888263
11.713113,15,491.120519
14.686888,20,491.411712
22.686888,30,491.834321
19.030668,25,492.183324
22.519327,30,492.610358
21.752929,30,493.067297
7.165427,10,493.223612
23.285957,30,493.656671
20.835996,30,494.135747
23.266706,30,494.590918
21.552932,30,495.062818
22.619587,30,495.518181
22.420221,30,495.961837
23.086888,30,496.373102
7.820221,11,496.529816
23.318932,30,496.995765
22.551242,30,497.413685
24.019598,30,497.850123
12.385598,16,498.088946
22.95205,30,498.549802
6.349914,8,498.670361
19.999994,25,499.095985
23.11889,30,499.630931
23.715158,30,500.181049
8.63599,12,500.385535
24.533016,30,500.93134
22.686888,30,501.437331
23.486265,30,501.865294
11.200849,14,502.06516
1.931021,3,502.109295
7.734474,11,502.261302
8.153204,11,502.416928
22.553555,30,502.870355
7.617557,10,503.019055
7.182792,10,503.158922
24.686888,30,503.588799
23.220221,30,504.00664
5.812615,8,504.124132
22.219916,30,504.547215
10.286888,15,504.761814
23.62022,30,505.181385
24.819598,30,505.603398
9.753554,14,506.011095
22.553555,30,506.439333
22.700004,30,506.96076
23.086888,30,507.388549
23.220221,30,507.814409
23.035103,30,508.224906
23.866395,30,508.647966
24.284271,30,509.067487
21.853555,30,509.487446
24.896352,30,509.91386
22.952932,30,510.338677
23.952881,30,510.760025
22.053554,30,511.191978
23.88626,30,511.657993
24.020221,30,512.088699
1.931021,3,512.133223
11.397389,15,512.349
21.518933,30,512.789329
26.530711,30,513.232514
22.686887,30,513.653262
23.450044,30,514.077109
23.752932,30,514.524172
22.919322,30,514.941153
9.553554,13,515.124956
22.482749,30,515.537153
24.151242,30,515.965117
23.285692,30,516.387073
22.420221,30,516.802666
22.819283,30,517.212479
22.686888,30,517.631833
23.353554,30,518.051462
16.286888,22,518.360288
23.05226,30,518.775639
4.646446,6,518.864271
21.619598,30,519.289823
22.286888,30,519.707622
3.399063,5,519.781138
7.553555,11,519.932586
23.134871,30,520.357822
24.251961,30,520.957057
23.753554,30,521.373739
23.052266,30,521.799286
1.933448,3,521.845832
23.352932,30,522.259065
23.718932,30,522.676634
23.886888,30,523.095685
21.853507,30,523.524422
21.535996,29,523.928797
2.516935,4,523.990904
24.382943,30,524.408836
10.885641,14,524.607972
24.02017,30,525.06507
23.486887,30,525.491904
11.353158,14,525.714506
21.753554,30,526.13491
14.085797,18,526.392269
17.732326,22,526.700797
13.920221,20,526.984379
24.819547,30,527.40669
10.530392,12,527.576022
11.519546,15,527.797282
23.985989,30,528.222533
23.832729,30,528.648599
21.386265,27,529.031382
7.781865,11,529.187106
24.549919,30,529.608215
22.935996,30,530.020036
15.753554,20,530.292066
23.185599,30,530.704843
4.135327,6,530.795019
15.668707,21,531.086305
13.849459,18,531.362764
22.802663,30,531.782272
24.686213,30,532.196635
24.385294,30,532.611227
22.020178,30,533.034226
23.052265,30,533.444954
24.286888,30,533.873125
23.752932,30,534.292536
8.59711,11,534.453017
12.785994,18,534.71754
24.152932,30,535.135907
25.186426,30,535.718125
12.552932,16,535.947134
22.783682,30,536.362857
22.953555,30,536.808289
22.630444,30,537.223808
4.246796,6,537.316887
6.417208,8,537.434896
23.867017,30,537.862081
22.584575,30,538.276817
22.900044,30,538.693531
23.086848,30,539.10816
23.086265,30,539.530222
23.485915,30,539.947634
23.486888,30,540.362597
23.920212,30,540.773791
24.535692,30,541.194885
22.153555,30,541.612844
20.933684,30,542.066757
5.999954,8,542.184013
18.466355,25,542.534521
22.552932,30,542.959758
16.000001,22,543.278855
19.133379,25,543.632374
22.820221,30,544.050327
24.020176,30,544.516861
24.152932,30,544.950168
23.086266,30,545.369624
22.119327,30,545.802441
22.420221,30,546.230727
24.419824,30,546.67197
14.799331,18,546.923939
20.920221,30,547.340205
22.420221,30,547.75062
23.197734,30,548.170677
23.353555,30,548.603193
19.286887,25,548.953581
24.420221,30,549.371548
19.352654,25,549.732906
23.486583,30,550.318825
23.397729,29,550.747027
26.06654,30,551.170748
14.502617,18,551.424768
16.153555,23,551.745583
18.286888,25,552.142901
24.550938,30,552.579048
6.286537,9,552.722279
13.918932,19,553.068607
23.052266,30,553.510933
23.579552,30,553.936022
11.269289,15,554.15265
9.683376,13,554.340593
21.418196,26,554.712045
23.120138,30,555.135704
13.352932,18,555.39632
25.086266,30,555.82484
23.05262,30,556.289156
23.086888,30,556.744815
19.131067,25,557.100144
23.618705,30,557.518759
1.882442,3,557.56513
23.620221,30,557.982791
16.752892,23,558.303299
20.920175,30,558.727721
23.886887,30,559.146174
24.552927,30,559.567758
24.985203,30,559.994891
21.312886,26,560.358852
23.718932,30,560.787096
21.198837,30,561.208788
22.953555,30,561.622727
24.953554,30,562.069048
23.817557,30,562.548004
23.735996,30,562.976143
21.416126,30,563.41032
23.886265,30,563.830419
19.185599,26,564.232625
11.253503,15,564.61984
22.420215,30,565.208371
23.619599,30,566.104094
12.799649,15,566.366874
22.918934,30,566.865
23.102662,30,567.481502
22.153555,30,567.929069
24.796722,30,568.363483
23.752932,30,568.782871
22.351994,30,569.193834
23.752932,30,569.611752
21.966667,30,570.032681
7.753548,11,570.186437
24.553555,30,570.644985
14.352627,19,570.918183
4.019287,6,571.009019
22.931892,30,571.431541
23.052266,30,571.843666
4.6657,6,571.932889
21.486888,30,572.397411
3.97978,5,572.482023
23.486888,30,572.944129
24.785594,30,573.376057
23.71597,30,573.941981
22.286888,30,574.51687
1.8,3,574.569324
24.385598,30,575.003889
23.753555,30,575.438667
1.733333,3,575.484757
5.786491,8,575.597863
23.385598,30,576.047217
12.29615,16,576.283922
24.268701,30,576.713907
17.820221,23,577.046301
7.478835,9,577.177876
22.917015,30,577.59791
9.669291,14,577.807118
5.486882,8,577.929995
23.620221,30,578.363341
23.220176,30,578.792347
21.752932,30,579.251307
24.553514,30,579.678261
23.684268,30,580.159248
24.548545,30,580.587124
10.420221,14,580.784793
22.152931,30,581.364252
25.552034,30,581.800293
12.318932,17,582.049982
25.486888,30,582.47865
23.653552,30,583.075517
9.352879,12,583.252457
24.881209,30,583.686779
23.752926,30,584.123509
22.553555,30,584.548524
16.169283,21,584.895544
25.318933,30,585.342249
6.086888,9,585.475151
9.133684,13,585.660788
24.952932,30,586.091605
23.753555,30,586.527684
9.05226,12,586.698202
2.046796,3,586.743468
23.886258,30,587.181221
9.753555,14,587.415461
20.812615,27,587.803557
22.400006,30,588.232435
21.353555,30,588.64212
22.286887,30,589.070677
23.352932,30,589.504478
24.912536,30,589.932351
21.88596,30,590.356639
11.486265,14,590.55923
23.352932,30,590.98326
16.733684,21,591.274389
12.735368,17,591.515604
24.153549,30,591.937985
14.453554,21,592.233926
22.517015,30,592.638021
16.083953,21,592.933367
23.219598,30,593.356732
22.652316,30,593.772105
18.646498,23,594.093682
7.486882,10,594.23604
21.553555,30,594.659455
20.434668,27,595.048857
24.286888,30,595.460931
4.868706,7,595.560079
22.449459,30,595.97779
8.353548,11,596.138323
13.686888,17,596.553891
23.185599,30,596.967358
3.532355,5,597.044606
25.62022,30,597.475524
23.086264,30,597.89749
7.785599,11,598.057858
22.353247,30,598.479273
22.54997,30,598.893584
24.032916,30,599.30937
6.382591,8,599.424098
23.886265,30,599.840742
21.220221,30,600.251988
22.412496,30,600.723557
24.219279,30,601.145433
7.686888,11,601.300097
22.286888,30,601.719509
21.620221,30,602.139094
22.320175,30,602.563138
13.953555,19,602.847617
22.553555,30,603.270656
22.585598,30,603.703501
23.018701,30,604.16641
8.868934,11,604.328709
4.286579,7,604.432392
5.585552,8,604.548251
22.4535,30,604.968336
23.735373,30,605.400389
18.153555,24,605.746458
22.952932,30,606.177429
24.518933,30,606.60914
22.286264,30,607.054058
24.953554,30,607.483718
5.150592,7,607.590938
13.019599,17,607.836499
24.020221,30,608.268113
23.216592,30,608.698003
23.352932,30,609.13198
23.617909,30,609.562412
7.46609,10,609.701695
14.33599,19,609.977028
25.484569,30,610.401404
24.118933,30,610.828295
22.286888,30,611.427254
21.520221,30,611.850958
23.318947,30,612.328929
7.182792,10,612.471092
21.919592,30,612.908113
22.218699,30,613.325214
4.552032,7,613.427927
23.486888,30,613.861221
4.168933,6,613.951523
22.902006,30,614.376825
21.620221,30,614.80414
22.650006,30,615.218298
24.919229,30,615.639587
24.152886,30,616.055028
23.867809,30,616.465534
8.669276,12,616.636113
3.730976,5,616.712019
25.579156,30,617.13895
16.417909,22,617.451371
24.718933,30,617.860755
11.953514,15,618.075505
23.669329,30,618.488928
15.519479,20,618.76946
4.683875,6,618.858057
23.452265,30,619.292749
4.663427,6,619.383103
23.215217,30,619.800299
9.386888,13,619.981958
18.715781,23,620.333208
15.153555,21,620.628283
23.353514,30,621.058494
2.979354,4,621.122896
5.619293,8,621.237459
6.352931,9,621.367022
18.553554,24,621.695947
23.985599,30,622.103866
23.034793,30,622.538321
21.553542,28,622.953312
14.185981,16,623.180928
23.299062,30,623.599779
24.286259,30,624.045731
24.052265,30,624.479033
11.319327,16,624.708711
18.913112,26,625.080548
23.886225,30,625.508565
6.353554,9,625.636696
22.95062,30,626.287295
22.478826,30,626.737344
24.420221,30,627.162524
17.70235,24,627.495737
23.883875,30,627.924032
24.286887,30,628.362369
22.918932,30,628.806533
24.019593,30,629.236253
24.286582,30,629.658364
23.086225,30,630.098679
4.62022,7,630.199987
6.132988,8,630.317895
5.718939,8,630.434761
23.316315,30,630.853398
4.718931,7,630.957328
23.75062,30,631.378402
19.052265,26,631.752575
24.049961,30,632.176513
24.932751,30,632.600664
22.968434,30,633.024763
24.985344,30,633.444096
24.153555,30,633.870049
23.168041,30,634.300944
21.953555,30,634.727454
24.400045,30,635.166915
23.620221,30,635.596473
19.219598,26,635.97451
25.812205,30,636.445022
23.619599,30,636.874641
19.985295,27,637.263797
15.219917,20,637.576164
23.353555,30,637.999527
17.02022,21,638.292029
21.886881,30,638.70285
23.886265,30,639.125659
17.733684,25,639.491572
22.452266,30,639.92062
18.397389,24,640.270142
24.020221,30,640.706582
25.719263,30,641.305737
7.283597,9,641.438027
16.486888,23,641.778983
20.84879,27,642.168197
6.01983,8,642.287664
7.486543,11,642.456532
23.335996,30,642.890614
8.399649,10,643.037419
7.696444,10,643.184422
23.619294,30,643.619942
23.916267,30,644.054567
19.182098,22,644.37123
2.74782,4,644.431627
8.086265,11,644.593437
24.264056,30,645.06119
22.135995,30,645.486213
5.250541,7,645.586191
22.515513,30,646.00589
23.619598,30,646.4129
15.353555,20,646.692173
24.469018,30,647.105032
24.95325,30,647.525489
6.382587,8,647.642412
24.286265,30,648.082606
21.081899,27,648.465477
5.563532,7,648.570732
10.55288,14,648.777869
23.483953,30,649.206949
7.06933,10,649.354601
22.397111,28,649.746595
9.296865,11,649.905753
23.620221,30,650.325089
21.267017,29,650.736491
23.886888,30,651.161706
23.353554,30,651.616384
23.53599,30,652.048266
11.984749,17,652.28939
23.985599,30,652.708036
12.286888,16,652.940287
23.200351,30,653.352185
19.918966,26,653.717257
25.735369,30,654.142976
7.718927,10,654.293533
22.634692,29,654.706068
3.515456,5,654.78163
2.197383,3,654.826218
10.019202,12,655.024448
